gene,pval
isogroupisogroup0,-0.167563771671568
isogroupisogroup100419,0.741675703971634
isogroupisogroup10057,-3.91485670360982
isogroupisogroup10079,-1.50160240984108
isogroupisogroup100854,2.14146407566532
isogroupisogroup10158,0.464327550190472
isogroupisogroup10162,1.75438044725571
isogroupisogroup10189,-0.581717999267279
isogroupisogroup10192,2.42177625778512
isogroupisogroup102078,-0.905047536686407
isogroupisogroup102087,-1.79977177811456
isogroupisogroup10209,1.66956550732386
isogroupisogroup10250,-0.0440080057305487
isogroupisogroup10269,-0.335707126118103
isogroupisogroup102747,1.56138570595274
isogroupisogroup102762,0.130285150493927
isogroupisogroup102779,0.0282756689847613
isogroupisogroup102881,-0.726021811847308
isogroupisogroup103158,0.51054314714468
isogroupisogroup10329,1.89730112178363
isogroupisogroup103693,0.00198764227511876
isogroupisogroup103830,-0.508856060037917
isogroupisogroup10407,-1.80210298517647
isogroupisogroup10412,-0.933483990597291
isogroupisogroup104193,-0.921275232913471
isogroupisogroup10422,-2.62836098308046
isogroupisogroup104321,-0.688511734963472
isogroupisogroup104350,0.343930607214395
isogroupisogroup104652,3.87104752770418
isogroupisogroup105029,0.512459094629064
isogroupisogroup105218,-0.454220515715765
isogroupisogroup105237,-0.314004417401263
isogroupisogroup105408,-0.95854542575108
isogroupisogroup105414,-0.818080529512533
isogroupisogroup105721,0.548982117752082
isogroupisogroup105782,-1.05143481191615
isogroupisogroup105870,-1.50153089823377
isogroupisogroup106411,0.958053594906951
isogroupisogroup10647,0.667084321044227
isogroupisogroup10649,0.590806186964277
isogroupisogroup106516,-0.649382477178414
isogroupisogroup10695,2.58177979915953
isogroupisogroup107048,-0.588149878439738
isogroupisogroup107164,0.128733329956502
isogroupisogroup107566,-0.540055541941379
isogroupisogroup10775,0.564488618909656
isogroupisogroup107893,-0.748543255776728
isogroupisogroup107894,1.56476410892407
isogroupisogroup10799,1.15847114753437
isogroupisogroup108025,-0.0280105577549726
isogroupisogroup10825,0.0103869650748848
isogroupisogroup108254,-2.06869904564444
isogroupisogroup10835,-0.911152767564852
isogroupisogroup10849,-0.132014234893652
isogroupisogroup10872,0.446823623842042
isogroupisogroup109364,-0.615582627292684
isogroupisogroup10937,1.02567314747426
isogroupisogroup10991,0.906958825401941
isogroupisogroup10992,0.271590068963308
isogroupisogroup10997,0.600078028848375
isogroupisogroup11005,-2.64236618782598
isogroupisogroup11012,1.52786543951589
isogroupisogroup110131,0.520135169871896
isogroupisogroup11020,0.783248072683706
isogroupisogroup11035,4.9297597054263
isogroupisogroup110398,-0.00184830476785304
isogroupisogroup11044,-0.410171142461409
isogroupisogroup11051,-0.541018317450676
isogroupisogroup110675,-0.53840072680628
isogroupisogroup11071,2.54208810602647
isogroupisogroup11085,0.876508759478122
isogroupisogroup11092,1.42477151516634
isogroupisogroup11147,1.84535402315606
isogroupisogroup111491,0.772769466769839
isogroupisogroup111670,0.0664461310558089
isogroupisogroup11173,7.39189458063613
isogroupisogroup111780,-2.60893208863869
isogroupisogroup11195,-0.0604900691109742
isogroupisogroup11246,1.6373768005105
isogroupisogroup11269,0.666027363069995
isogroupisogroup11289,-0.735419723924311
isogroupisogroup11294,-1.50627652056607
isogroupisogroup113146,-0.816234440366038
isogroupisogroup11395,-0.701634415719038
isogroupisogroup11423,-0.239163737385106
isogroupisogroup114258,1.33947229765599
isogroupisogroup114503,2.40710140821884
isogroupisogroup11459,-0.411536204480903
isogroupisogroup115029,-0.542012568320035
isogroupisogroup115313,0.922424219176742
isogroupisogroup11550,-0.441728246943201
isogroupisogroup115554,-0.600584577459688
isogroupisogroup11560,-4.57400942478775
isogroupisogroup11578,1.52192216356668
isogroupisogroup115908,-0.227592738035663
isogroupisogroup116318,-1.48725979294306
isogroupisogroup116538,-2.97847947165698
isogroupisogroup116540,0.147270133683388
isogroupisogroup11681,-0.197408561735204
isogroupisogroup116820,-2.75088343372509
isogroupisogroup117643,0.596466906369127
isogroupisogroup11808,-2.22866917962637
isogroupisogroup11820,0.34769412251434
isogroupisogroup11850,-0.0570906257764957
isogroupisogroup11891,0.21568383176388
isogroupisogroup11895,0.765435210272608
isogroupisogroup119074,0.815331291776544
isogroupisogroup119106,0.0779688699445024
isogroupisogroup119158,0.781522548670157
isogroupisogroup11980,-1.79221554510762
isogroupisogroup119986,0.158355151129976
isogroupisogroup120408,-0.721089216324011
isogroupisogroup120503,0.664566205251277
isogroupisogroup12054,-0.0112637467394662
isogroupisogroup120558,-0.674725999357366
isogroupisogroup12057,-2.52750510039137
isogroupisogroup12059,0.257353730001302
isogroupisogroup120646,-0.558849318507766
isogroupisogroup12108,-3.57975022320979
isogroupisogroup12123,-0.0174666281695345
isogroupisogroup12155,0.594104246714821
isogroupisogroup12215,0.243289640730077
isogroupisogroup122440,0.268687419259546
isogroupisogroup12272,2.25387953756397
isogroupisogroup123000,-0.874954912321968
isogroupisogroup12304,-0.685066464955229
isogroupisogroup123108,-2.52441837031231
isogroupisogroup12332,-0.314798333548104
isogroupisogroup12354,-0.598641819447897
isogroupisogroup12359,0.0336804826122796
isogroupisogroup123684,0.136516777944446
isogroupisogroup12375,-0.0692395580779685
isogroupisogroup12377,-1.38451370805347
isogroupisogroup123817,0.167179647234105
isogroupisogroup124085,0.116048669554494
isogroupisogroup124118,0.0136526858721742
isogroupisogroup124290,-0.0317683981784174
isogroupisogroup124297,-0.63303837142977
isogroupisogroup12437,-1.97932234901793
